,Unnamed: 0,time,leader,platoon compo,string compo,platoon DTW,ACC,run,duration,length,heavy in platoon,mean speed,Flow,Density,LC Density
0,0,5.0,61.0,"[74, 86, 98]","[74, 86, 98, 93]","[0.69, 0.39, 1.41]","[False, False, False]",1.csv,30.0,3,0,30.46901923076923,1.1704421591640977,0.05559610331325292,0.0005815998951783061
1,1,10.0,61.0,"[74, 86]","[74, 86, 98, 93]","[1.42, 1.31]","[False, False]",1.csv,35.0,2,0,30.971666189111748,1.0432582962091583,0.04233304608940734,0.0003920564217156768
2,2,15.0,61.0,"[74, 86]","[74, 86, 98, 93]","[0.7, 0.66]","[False, False]",1.csv,40.0,2,0,30.80611998746867,0.9782759410789144,0.03678979102185609,0.00024085686301655583
3,3,20.0,61.0,"[74, 86]","[74, 86, 98, 93]","[0.9, 0.86]","[False, False]",1.csv,45.0,2,0,31.032920371430514,0.9050580256774622,0.03267418271339219,0.00018317925174420984
4,0,5.0,144.0,"[134, 130, 146, 143]","[134, 130, 146, 143]","[1.15, 0.67, 0.09, 0.66]","[False, False, False, False]",1.csv,30.0,4,0,31.239225752508357,1.0467647439456977,0.058227657344534764,0.0006162308958041568
5,0,10.0,134.0,"[130, 146]","[130, 146]","[0.1, 0.04]","[False, False]",1.csv,35.0,2,0,31.647774713467054,1.0845405706995277,0.04876895210317834,0.00047281406319734385
6,1,15.0,134.0,"[130, 146]","[130, 146]","[0.2, 0.26]","[False, False]",1.csv,40.0,2,0,31.24043671679198,1.0634239954091562,0.0424470072583939,0.0003248814214654817
7,2,20.0,134.0,"[130, 146]","[130, 146]","[0.47, 0.49]","[False, False]",1.csv,45.0,2,0,30.91617232739432,0.9928445514203835,0.03746128256394738,0.00022095620091785138
8,3,25.0,134.0,"[130, 146]","[130, 146]","[0.84, 1.0]","[False, False]",1.csv,50.0,2,0,30.88290756513026,0.9239609900056205,0.03363148055744727,0.00024023495503029687
9,4,30.0,134.0,"[130, 146]","[130, 146]","[1.05, 1.36]","[False, False]",1.csv,55.0,2,0,31.13216302367951,0.8346350354526243,0.030136407272951138,0.00021027974226444057
10,5,35.0,134.0,"[130, 146]","[130, 146]","[0.86, 1.07]","[False, False]",1.csv,60.0,2,0,31.75553693656102,0.730000855755542,0.02594884785648641,0.00017639078143216925
11,7,45.0,134.0,"[130, 146]","[130, 146]","[1.2, 1.37]","[False, False]",1.csv,70.0,2,0,32.02264538626602,0.5886992524959344,0.020483094575435023,0.00016176430926471985
12,2,35.0,74.0,"[86, 98]","[86, 98, 93]","[0.54, 1.48]","[False, False]",1.csv,60.0,2,0,30.56129608625529,0.9124095982880591,0.03306227280579613,0.00020882534537057398
13,3,40.0,74.0,"[86, 98]","[86, 98, 93]","[0.77, 1.48]","[False, False]",1.csv,65.0,2,0,30.284990208279055,0.9794164522052774,0.03578339125559882,0.00026861046857699607
14,0,5.1,229.0,"[69, 159]","[69, 159]","[0.25, 0.66]","[False, False]",1.csv,30.1,2,0,28.45308446029083,1.1654392008762984,0.05420111267090248,0.0005981362442990893
15,1,10.1,229.0,"[69, 159]","[69, 159]","[0.28, 0.66]","[False, False]",1.csv,35.1,2,0,28.789776785714288,1.1027352449600143,0.044631421701501944,0.0004223691359973247
16,2,15.1,229.0,"[69, 159]","[69, 159]","[0.27, 0.63]","[False, False]",1.csv,40.1,2,0,28.969908437500003,1.0368909860496647,0.03900215761279367,0.00025677743221255115
17,3,20.1,229.0,"[69, 159]","[69, 159]","[0.3, 0.65]","[False, False]",1.csv,45.1,2,0,29.174601388888888,0.9633872533267096,0.03481503053007878,0.0001942704488565244
18,0,5.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.37, 0.4, 0.5]","[True, True, True]",1.csv,30.0,3,0,25.512032608695648,1.2707283433526657,0.0646691534049811,0.0006929287818573855
19,1,15.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.14, 0.5, 0.59]","[True, True, True]",1.csv,40.0,3,0,25.354937343358568,1.1723066033648448,0.045457857978659276,0.0003447259199594991
20,2,20.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.13, 0.43, 0.44]","[True, True, True]",1.csv,45.0,3,0,25.49411135857476,1.080656576447382,0.03993299079327484,0.0002129986707556797
21,3,25.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.16, 0.37, 0.4]","[True, True, True]",1.csv,50.0,3,0,25.753037575150433,0.9957953521721024,0.035547088866188244,0.00024710646630495117
22,4,30.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.31, 0.39, 0.38]","[True, True, True]",1.csv,55.0,3,0,25.66058060109296,0.9224885475660712,0.032923211094294774,0.00022708426526677126
23,5,35.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.35, 0.41, 0.47]","[True, True, True]",1.csv,60.0,3,0,25.565643989983418,0.8353899420080302,0.02985264439129806,0.0002122199436654556
24,6,40.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.24, 0.43, 0.64]","[True, True, True]",1.csv,65.0,3,0,25.600454802259986,0.7673450483914391,0.027113274099154244,0.00023617834581144816
25,7,45.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.25, 0.56, 0.78]","[True, True, True]",1.csv,70.0,3,0,25.69678302336676,0.7094488292896696,0.02490085908244481,0.00020218300651546613
26,8,50.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.12, 0.12, 0.13]","[True, True, True]",1.csv,75.0,3,0,26.06316099243436,0.6494577070750475,0.022492864417827073,0.00016622390258278413
27,9,55.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.27, 0.29, 0.29]","[True, True, True]",1.csv,80.0,3,0,26.38500500625778,0.59256830520507,0.020248849399928447,0.00016174637844977019
