,variable,coefficient,p-value,significatif,duration
0,const,2.1215022582418115,0.006622977981724734,True,30
1,has ACC,1.1245551306723947,0.030399193456924455,True,30
2,lenght,-1.5289481609005202,0.05672614256248367,False,30
3,heavy in platoon,0.16741972316261952,0.6970390698785398,False,30
4,mean speed,-0.439382134785902,0.6117325388613548,False,30
5,Density,0.3500931578907986,0.7843021001004129,False,30
6,LC Density,-2.3828039317753977,0.06371815656857081,False,30
7,const,2.2475933945148334,0.004491837152769727,True,31
8,has ACC,1.3427554501688743,0.018312165865205794,True,31
9,lenght,-1.802046379757053,0.0243357280539203,True,31
10,heavy in platoon,0.016709483413139423,0.969612016492202,False,31
11,mean speed,-0.5991590800116724,0.4986711553448667,False,31
12,Density,0.27032638263023545,0.8330594241136463,False,31
13,LC Density,-2.310619516170428,0.0877781707399697,False,31
14,const,2.2612403718232637,0.004253373178674641,True,32
15,has ACC,1.3514286957889996,0.017596867815767574,True,32
16,lenght,-1.7946730228277799,0.024905460020441323,True,32
17,heavy in platoon,0.02561112942487981,0.9534601940714272,False,32
18,mean speed,-0.6308012220344652,0.47677387128867843,False,32
19,Density,0.2422425715860736,0.8500962117020765,False,32
20,LC Density,-2.2920941337969545,0.09017066502914843,False,32
21,const,2.2612403718232637,0.004253373178674641,True,33
22,has ACC,1.3514286957889996,0.017596867815767574,True,33
23,lenght,-1.7946730228277799,0.024905460020441323,True,33
24,heavy in platoon,0.02561112942487981,0.9534601940714272,False,33
25,mean speed,-0.6308012220344652,0.47677387128867843,False,33
26,Density,0.2422425715860736,0.8500962117020765,False,33
27,LC Density,-2.2920941337969545,0.09017066502914843,False,33
28,const,2.2612403718232637,0.004253373178674641,True,34
29,has ACC,1.3514286957889996,0.017596867815767574,True,34
30,lenght,-1.7946730228277799,0.024905460020441323,True,34
31,heavy in platoon,0.02561112942487981,0.9534601940714272,False,34
32,mean speed,-0.6308012220344652,0.47677387128867843,False,34
33,Density,0.2422425715860736,0.8500962117020765,False,34
34,LC Density,-2.2920941337969545,0.09017066502914843,False,34
35,const,2.269008909278501,0.004376223441555243,True,35
36,has ACC,1.673996647813404,0.00883298725706959,True,35
37,lenght,-1.866081542776371,0.02010671825817404,True,35
38,heavy in platoon,0.0226239445269433,0.9590016818569895,False,35
39,mean speed,-0.7231534456646456,0.41629619524796957,False,35
40,Density,0.3276162285396092,0.8007456618477846,False,35
41,LC Density,-2.1042986548582143,0.12331264239933214,False,35
42,const,2.3305028441631603,0.0037211033190484755,True,36
43,has ACC,1.8075406603230413,0.005017482598995544,True,36
44,lenght,-1.6067871043448132,0.04776155948271218,True,36
45,heavy in platoon,0.22626490526352241,0.6295835631210575,False,36
46,mean speed,-1.2264190976575213,0.17323277836684015,False,36
47,Density,-0.04625547738873643,0.9712915286039575,False,36
48,LC Density,-0.8696900467466131,0.5459957991499429,False,36
49,const,2.36212840942533,0.003108919823756724,True,37
50,has ACC,1.879076327043501,0.0035139674265499245,True,37
51,lenght,-1.5418569426248718,0.057265720375632295,False,37
52,heavy in platoon,0.29469829806815395,0.5295275302114277,False,37
53,mean speed,-1.3896142037617731,0.12030436173471105,False,37
54,Density,-0.1452365128992643,0.9094269473924952,False,37
55,LC Density,-0.6839826905132823,0.6354281669894509,False,37
56,const,2.36212840942533,0.003108919823756724,True,38
57,has ACC,1.879076327043501,0.0035139674265499245,True,38
58,lenght,-1.5418569426248718,0.057265720375632295,False,38
59,heavy in platoon,0.29469829806815395,0.5295275302114277,False,38
60,mean speed,-1.3896142037617731,0.12030436173471105,False,38
61,Density,-0.1452365128992643,0.9094269473924952,False,38
