,Unnamed: 0.1,Unnamed: 0,time,leader,platoon compo,string compo,platoon DTW,ACC,run,duration,length,heavy in platoon,mean speed,Flow,Density,LC Density,CF DTW,difference
0,0,0,5.0,61.0,"[74, 86, 98]","[74, 86, 98, 93]","[0.69, 0.39, 1.41]","[False, False, False]",1.csv,30.0,3,0,30.46901923076923,1.1704421591640977,0.0555961033132529,0.0005815998951783,[1.2134352  0.32113715 0.44731136],[0.         0.06886285 0.96268864]
1,1,1,10.0,61.0,"[74, 86]","[74, 86, 98, 93]","[1.42, 1.31]","[False, False]",1.csv,35.0,2,0,30.971666189111748,1.0432582962091583,0.0423330460894073,0.0003920564217156,[0.15924221 0.92304292],[0.         0.38695708]
2,2,2,15.0,61.0,"[74, 86]","[74, 86, 98, 93]","[0.7, 0.66]","[False, False]",1.csv,40.0,2,0,30.80611998746867,0.9782759410789144,0.036789791021856,0.0002408568630165,[0.16348553 0.38665227],[0.         0.27334773]
3,3,3,20.0,61.0,"[74, 86]","[74, 86, 98, 93]","[0.9, 0.86]","[False, False]",1.csv,45.0,2,0,31.032920371430517,0.9050580256774622,0.0326741827133921,0.0001831792517442,[0.30210411 0.59313464],[0.         0.26686536]
4,4,0,5.0,144.0,"[134, 130, 146, 143]","[134, 130, 146, 143]","[1.15, 0.67, 0.09, 0.66]","[False, False, False, False]",1.csv,30.0,4,0,31.23922575250836,1.0467647439456975,0.0582276573445347,0.0006162308958041,[1.37521122 0.23998953 0.17088982 0.39994447],[0.         0.43001047 0.08088982 0.26005553]
5,5,0,10.0,134.0,"[130, 146]","[130, 146]","[0.1, 0.04]","[False, False]",1.csv,35.0,2,0,31.64777471346705,1.0845405706995277,0.0487689521031783,0.0004728140631973,[0.13697532 0.03731385],[0.         0.00268615]
6,6,1,15.0,134.0,"[130, 146]","[130, 146]","[0.2, 0.26]","[False, False]",1.csv,40.0,2,0,31.24043671679198,1.0634239954091562,0.0424470072583939,0.0003248814214654,[0.10752726 0.43969327],[0.         0.17969327]
7,7,2,20.0,134.0,"[130, 146]","[130, 146]","[0.47, 0.49]","[False, False]",1.csv,45.0,2,0,30.91617232739432,0.9928445514203836,0.0374612825639473,0.0002209562009178,[0.18320438 0.62943251],[0.         0.13943251]
8,8,3,25.0,134.0,"[130, 146]","[130, 146]","[0.84, 1.0]","[False, False]",1.csv,50.0,2,0,30.88290756513026,0.9239609900056204,0.0336314805574472,0.0002402349550302,[0.17166813 0.96255595],[0.         0.03744405]
9,9,4,30.0,134.0,"[130, 146]","[130, 146]","[1.05, 1.36]","[False, False]",1.csv,55.0,2,0,31.13216302367951,0.8346350354526243,0.0301364072729511,0.0002102797422644,[0.185305   0.87499675],[0.         0.48500325]
10,10,5,35.0,134.0,"[130, 146]","[130, 146]","[0.86, 1.07]","[False, False]",1.csv,60.0,2,0,31.75553693656102,0.730000855755542,0.0259488478564864,0.0001763907814321,[0.27039197 0.87378647],[0.         0.19621353]
11,11,7,45.0,134.0,"[130, 146]","[130, 146]","[1.2, 1.37]","[False, False]",1.csv,70.0,2,0,32.02264538626602,0.5886992524959344,0.020483094575435,0.0001617643092647,[0.60083411 1.27127327],[0.         0.09872673]
12,12,2,35.0,74.0,"[86, 98]","[86, 98, 93]","[0.54, 1.48]","[False, False]",1.csv,60.0,2,0,30.56129608625529,0.9124095982880592,0.0330622728057961,0.0002088253453705,[0.783019  0.6837139],[0.        0.7962861]
13,13,3,40.0,74.0,"[86, 98]","[86, 98, 93]","[0.77, 1.48]","[False, False]",1.csv,65.0,2,0,30.28499020827905,0.9794164522052774,0.0357833912555988,0.0002686104685769,[0.85873267 0.75447019],[0.         0.72552981]
14,14,0,5.1,229.0,"[69, 159]","[69, 159]","[0.25, 0.66]","[False, False]",1.csv,30.1,2,0,28.45308446029083,1.1654392008762984,0.0542011126709024,0.000598136244299,[0.36837718],[0]
15,15,1,10.1,229.0,"[69, 159]","[69, 159]","[0.28, 0.66]","[False, False]",1.csv,35.1,2,0,28.789776785714288,1.1027352449600143,0.0446314217015019,0.0004223691359973,[0.33063934],[0]
16,16,2,15.1,229.0,"[69, 159]","[69, 159]","[0.27, 0.63]","[False, False]",1.csv,40.1,2,0,28.969908437500003,1.036890986049665,0.0390021576127936,0.0002567774322125,[0.26039458],[0]
17,17,3,20.1,229.0,"[69, 159]","[69, 159]","[0.3, 0.65]","[False, False]",1.csv,45.1,2,0,29.174601388888888,0.9633872533267096,0.0348150305300787,0.0001942704488565,[0.26718265],[0]
18,18,0,5.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.37, 0.4, 0.5]","[True, True, True]",1.csv,30.0,3,0,25.512032608695648,1.2707283433526655,0.0646691534049811,0.0006929287818573,[0.05437451 0.06468279 0.25777338],[0.         0.33531721 0.24222662]
19,19,1,15.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.14, 0.5, 0.59]","[True, True, True]",1.csv,40.0,3,0,25.354937343358568,1.1723066033648448,0.0454578579786592,0.0003447259199594,[0.15167096 0.33384825 0.11079459],[0.         0.16615175 0.47920541]
20,20,2,20.0,105.0,"[9, 8, 12]","[9, 8, 12]","[0.13, 0.43, 0.44]","[True, True, True]",1.csv,45.0,3,0,25.49411135857476,1.080656576447382,0.0399329907932748,0.0002129986707556,[0.06811838 0.33325246 0.10893253],[0.         0.09674754 0.33106747]
